Country,Index
Switzerland,7.73
Norway,6.92
Uruguay,6.86
Argentina,5.99
Euro area,5.82
Sweden,5.74
United States,5.58
Mexico,5.58
Sri Lanka,5.58
Denmark,5.41
Costa Rica,5.41
Britain,5.39
Saudi Arabia,5.06
New Zealand,5.04
Australia,5.02
Poland,4.98
United Arab Emirates,4.90
Colombia,4.87
Singapore,4.86
Czech Republic,4.85
Brazil,4.81
Chile,4.65
Israel,4.64
Canada,4.57
Kuwait,4.56
Bahrain,4.51
Nicaragua,4.35
Honduras,4.14
Peru,4.13
South Korea,4.08
Hungary,3.99
Qatar,3.85
Thailand,3.74
Guatemala,3.69
Oman,3.69
Croatia,3.68
Moldova,3.57
Turkey,3.53
Jordan,3.53
China,3.50
Azerbaijan,3.49
Pakistan,3.44
Romania,3.24
Japan,3.17
Vietnam,3.12
Hong Kong,2.95
Malaysia,2.92
Ukraine,2.84
Philippines,2.82
South Africa,2.81
Egypt,2.62
India,2.54
Indonesia,2.52
Taiwan,2.39
