@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2023/12/05 09:07:56:893',1,350,?,?
2,'2023/12/05 09:07:56:972',1,350,?,?
3,'2023/12/05 09:07:57:001',1,350,?,?
4,'2023/12/05 09:07:57:055',1,350,?,?
5,'2023/12/05 09:07:57:106',1,350,?,?
6,'2023/12/05 09:07:57:162',1,350,?,?
7,'2023/12/05 09:07:57:215',1,350,?,?
8,'2023/12/05 09:07:57:268',1,350,?,?
9,'2023/12/05 09:07:57:321',1,350,?,?
10,'2023/12/05 09:07:57:373',1,350,?,?
11,'2023/12/05 09:07:57:433',1,350,?,?
12,'2023/12/05 09:07:57:499',1,350,?,?
13,'2023/12/05 09:07:57:542',1,350,?,?
14,'2023/12/05 09:07:57:619',1,350,?,?
15,'2023/12/05 09:07:57:681',1,350,?,?
16,'2023/12/05 09:07:57:738',1,350,?,?
17,'2023/12/05 09:07:57:800',1,350,?,?
18,'2023/12/05 09:07:57:861',1,350,?,?
19,'2023/12/05 09:07:57:929',1,350,?,?
20,'2023/12/05 09:07:57:995',1,350,?,?
21,'2023/12/05 09:07:58:056',1,350,?,?
22,'2023/12/05 09:07:58:127',1,350,?,?
23,'2023/12/05 09:07:58:183',1,350,?,?
24,'2023/12/05 09:07:58:237',1,350,?,?
25,'2023/12/05 09:07:58:289',1,350,?,?
26,'2023/12/05 09:07:58:356',1,350,?,?
27,'2023/12/05 09:07:58:463',1,350,?,?
28,'2023/12/05 09:07:58:478',1,350,?,?
29,'2023/12/05 09:07:58:537',1,350,?,?
30,'2023/12/05 09:07:58:586',1,350,?,?
31,'2023/12/05 09:07:58:641',1,350,?,?
32,'2023/12/05 09:07:58:694',1,350,?,?
33,'2023/12/05 09:07:58:749',1,350,?,?
34,'2023/12/05 09:07:58:801',1,350,?,?
35,'2023/12/05 09:07:58:854',1,350,?,?
36,'2023/12/05 09:07:58:905',1,350,?,?
37,'2023/12/05 09:07:58:963',1,350,?,?
38,'2023/12/05 09:07:59:020',1,350,?,?
39,'2023/12/05 09:07:59:070',1,350,?,?
40,'2023/12/05 09:07:59:131',1,350,?,?
41,'2023/12/05 09:07:59:190',1,350,?,?
42,'2023/12/05 09:07:59:241',1,350,?,?
43,'2023/12/05 09:07:59:296',1,350,?,?
44,'2023/12/05 09:07:59:356',1,350,?,?
45,'2023/12/05 09:07:59:403',1,350,?,?
46,'2023/12/05 09:07:59:508',1,350,?,?
47,'2023/12/05 09:07:59:563',1,350,?,?
48,'2023/12/05 09:07:59:615',1,350,?,?
49,'2023/12/05 09:07:59:669',1,350,?,?
50,'2023/12/05 09:07:59:729',1,350,?,?
51,'2023/12/05 09:07:59:781',1,350,?,?
52,'2023/12/05 09:07:59:833',1,350,?,?
53,'2023/12/05 09:07:59:888',1,350,?,?
54,'2023/12/05 09:07:59:943',1,350,?,?
55,'2023/12/05 09:07:59:987',1,350,?,?
56,'2023/12/05 09:08:00:047',1,350,?,?
57,'2023/12/05 09:08:00:103',1,350,?,?
58,'2023/12/05 09:08:37:963',2,240,?,?
59,'2023/12/05 09:08:38:020',2,240,?,?
60,'2023/12/05 09:08:38:078',2,240,?,?
61,'2023/12/05 09:08:38:135',2,240,?,?
62,'2023/12/05 09:08:38:195',2,240,?,?
63,'2023/12/05 09:08:38:255',2,240,?,?
64,'2023/12/05 09:08:38:312',2,240,?,?
65,'2023/12/05 09:08:38:362',2,240,?,?
66,'2023/12/05 09:08:38:419',2,240,?,?
67,'2023/12/05 09:08:38:473',2,240,?,?
68,'2023/12/05 09:08:38:527',2,240,?,?
69,'2023/12/05 09:08:38:579',2,240,?,?
70,'2023/12/05 09:08:38:632',2,240,?,?
71,'2023/12/05 09:08:38:682',2,240,?,?
72,'2023/12/05 09:08:38:745',2,240,?,?
73,'2023/12/05 09:08:38:804',2,240,?,?
74,'2023/12/05 09:08:38:862',2,240,?,?
75,'2023/12/05 09:08:38:919',2,240,?,?
76,'2023/12/05 09:08:38:970',2,240,?,?
77,'2023/12/05 09:08:39:024',2,240,?,?
78,'2023/12/05 09:08:39:077',2,240,?,?
79,'2023/12/05 09:08:39:134',2,240,?,?
80,'2023/12/05 09:08:39:188',2,240,?,?
81,'2023/12/05 09:08:39:241',2,240,?,?
82,'2023/12/05 09:08:39:298',2,240,?,?
83,'2023/12/05 09:08:39:352',2,240,?,?
84,'2023/12/05 09:08:39:411',2,240,?,?
85,'2023/12/05 09:08:39:465',2,240,?,?
86,'2023/12/05 09:08:39:519',2,240,?,?
87,'2023/12/05 09:08:39:574',2,240,?,?
88,'2023/12/05 09:08:39:623',2,240,?,?
89,'2023/12/05 09:08:39:676',2,240,?,?
90,'2023/12/05 09:08:39:730',2,240,?,?
91,'2023/12/05 09:08:39:791',2,240,?,?
92,'2023/12/05 09:08:39:867',2,240,?,?
93,'2023/12/05 09:08:39:923',2,240,?,?
94,'2023/12/05 09:08:39:983',2,240,?,?
95,'2023/12/05 09:08:40:039',2,240,?,?
96,'2023/12/05 09:08:40:089',2,240,?,?
97,'2023/12/05 09:08:40:149',2,240,?,?
98,'2023/12/05 09:08:40:205',2,240,?,?
99,'2023/12/05 09:08:40:263',2,240,?,?
100,'2023/12/05 09:08:40:315',2,240,?,?
101,'2023/12/05 09:08:40:369',2,240,?,?
102,'2023/12/05 09:08:40:420',2,240,?,?
103,'2023/12/05 09:08:40:472',2,240,?,?
104,'2023/12/05 09:08:40:523',2,240,?,?
105,'2023/12/05 09:08:40:578',2,240,?,?
106,'2023/12/05 09:08:40:631',2,240,?,?
107,'2023/12/05 09:08:40:683',2,240,?,?
108,'2023/12/05 09:08:40:746',2,240,?,?
109,'2023/12/05 09:08:40:796',2,240,?,?
110,'2023/12/05 09:08:40:851',2,240,?,?
111,'2023/12/05 09:08:40:901',2,240,?,?
112,'2023/12/05 09:08:40:956',2,240,?,?
113,'2023/12/05 09:08:41:012',2,240,?,?
114,'2023/12/05 09:08:41:063',2,240,?,?
115,'2023/12/05 09:08:41:119',2,240,?,?
116,'2023/12/05 09:08:41:174',2,240,?,?
117,'2023/12/05 09:08:41:224',2,240,?,?
118,'2023/12/05 09:08:41:279',2,240,?,?
119,'2023/12/05 09:08:41:329',2,240,?,?
120,'2023/12/05 09:08:41:394',2,240,?,?
121,'2023/12/05 09:08:41:454',2,240,?,?
122,'2023/12/05 09:08:41:506',2,240,?,?
123,'2023/12/05 09:08:41:557',2,240,?,?
124,'2023/12/05 09:08:41:611',2,240,?,?
125,'2023/12/05 09:08:41:664',2,240,?,?
126,'2023/12/05 09:08:41:716',2,240,?,?
127,'2023/12/05 09:08:41:771',2,240,?,?
128,'2023/12/05 09:08:41:833',2,240,?,?
129,'2023/12/05 09:08:41:888',2,240,?,?
130,'2023/12/05 09:08:41:945',2,240,?,?
131,'2023/12/05 09:09:04:029',3,110,?,?
132,'2023/12/05 09:09:04:083',3,110,?,?
133,'2023/12/05 09:09:04:134',3,110,?,?
134,'2023/12/05 09:09:04:190',3,110,?,?
135,'2023/12/05 09:09:04:245',3,110,?,?
136,'2023/12/05 09:09:04:298',3,110,?,?
137,'2023/12/05 09:09:04:355',3,110,?,?
